commit_id,cbo,wmc,rfc,changed_sloc
2837,4.0371,6.7236,6.529,18
2838,4.0371,6.7236,6.529,7
2839,4.0371,6.7236,6.529,2
2840,4.0371,6.7237,6.5297,549
2841,4.0371,6.7237,6.5297,60
2842,4.0368,6.7234,6.5292,6
2843,4.0368,6.7234,6.5292,105
2844,4.0368,6.7234,6.5292,12
2845,4.0368,6.7188,6.5292,284
2846,4.0366,6.7185,6.5289,9
2847,4.0366,6.7185,6.5289,64
2848,4.0364,6.7176,6.5281,4
2849,4.0385,6.7186,6.5302,62
2850,4.0389,6.7189,6.5303,2
2851,4.0389,6.7189,6.5303,24
2852,4.0389,6.7189,6.5303,75
2853,4.0389,6.7189,6.5303,343
4077,2.5248,4.0837,4.111,59
4078,2.5248,4.0837,4.111,912
4079,2.5248,4.0837,4.111,36
4080,2.5246,4.084,4.11,38
4081,2.5243,4.0833,4.1094,1217
4082,2.5241,4.0822,4.1078,69
4083,2.5241,4.0822,4.1078,980
4534,5.9097,20.5358,14.3271,129
4535,5.9034,20.5358,14.3271,1385
4536,5.9034,20.4984,14.324,91
4537,5.9034,20.4984,14.324,203
4538,5.9219,20.5625,14.3688,107
4539,5.9219,20.5562,14.3656,23
4540,5.9219,20.5562,14.3656,667
4541,5.9188,20.4937,14.3469,428
4542,5.9188,20.4875,14.3469,1375
4543,5.9156,20.4844,14.3281,3111
4544,5.9156,20.4844,14.3281,11
4545,5.9219,20.4781,14.3219,353
4546,5.9219,20.4781,14.3219,190
4547,5.9219,20.4781,14.3156,70
4548,5.9373,20.5172,14.3448,93
4549,5.9373,20.4451,14.326,62
4550,5.9373,20.4451,14.326,24
4551,5.9373,20.4702,14.326,173
4552,5.9373,20.4514,14.3166,16
4553,5.9373,20.4201,14.3135,26
4554,5.9373,20.4201,14.3135,327
4555,5.9373,20.4201,14.3103,622
4556,5.9373,20.3981,14.2978,1129
4557,5.9373,20.3981,14.2978,103
4558,5.9373,20.3981,14.2978,93
4559,5.9373,20.3981,14.2978,93
4560,5.9373,20.3981,14.2978,191
4561,5.9373,20.3981,14.2978,74
4562,5.9373,20.3981,14.2978,165
4563,5.9373,20.3918,14.2978,199
4564,5.9373,20.3386,14.2633,142
4565,5.9373,20.3072,14.2696,86
4566,5.9434,20.4434,14.3585,312
4567,5.9306,20.4574,14.3565,6
4568,5.9306,20.4574,14.3565,251
4569,5.9274,20.429,14.3438,120
4570,5.9211,20.306,14.2965,111
4571,5.9338,20.3123,14.306,41
4572,5.9338,20.3091,14.306,391
4573,5.9338,20.2839,14.306,572
4574,5.9338,20.2681,14.2839,38
4575,5.9338,20.265,14.2839,439
4576,5.9306,20.2587,14.2681,130
4577,5.9306,20.2303,14.2618,3165
4578,5.9304,20.2753,14.2816,1774
4579,5.9209,20.269,14.2753,1283
4580,5.9302,20.3302,14.3206,476
4581,5.9302,20.3111,14.2984,21
4582,5.9108,20.3471,14.3025,67
4583,5.9486,20.4759,14.4116,139
4584,5.9194,20.4548,14.3581,1057
4585,5.9194,20.4516,14.3516,195
2043,7.4925,12.6095,12.0947,1105
2044,7.4921,12.6084,12.0935,75
2045,7.4925,12.6082,12.0937,606
2046,7.4924,12.608,12.0941,220
2047,7.4924,12.6078,12.0937,271
2048,7.4914,12.6073,12.0917,2
2049,7.4952,12.61,12.0936,496
2050,7.4949,12.6089,12.0941,1872
2051,7.4949,12.6085,12.094,27
2052,7.495,12.6084,12.0939,105
2053,7.4937,12.6042,12.0907,6
2054,7.4937,12.6042,12.0907,16
2055,7.4904,12.604,12.0908,47
2056,7.4904,12.604,12.0907,94
2057,7.4903,12.6035,12.0905,430
2058,7.4903,12.6035,12.0906,102
2059,7.4904,12.604,12.0908,202
2060,7.4903,12.6035,12.0906,1228
2061,7.4898,12.601,12.0887,70
2062,7.4898,12.5998,12.0879,528
2063,7.4905,12.6007,12.0891,755
2064,7.4885,12.6029,12.0887,16
2065,7.4885,12.6029,12.0887,456
2066,7.4887,12.6026,12.0889,94
2067,7.4887,12.6023,12.0889,929
